행정구역,2020년08월_거주자_총인구수,2020년08월_거주자_연령구간인구수,동사무소 주소,X,Y,,,,
대구광역시 달서구 상인1동(2729062400),"39,829","2,783",대구광역시 달서구 상인서로 40,128.5450464,35.8142773,,,,
대구광역시 달서구 상인2동(2729062500),"20,442",903,대구광역시 달서구 상우원로 27,128.5362895,35.81256,,,,
대구광역시 달서구 상인3동(2729062600),"11,540",369,대구광역시 달서구 상인로 25,128.5502339,35.8100742,,,,
대구광역시 달서구 도원동(2729062800),"36,728","2,178",대구광역시 달서구 한실로 53,128.5322212,35.8074901,,,,
대구광역시 달서구 송현1동(2729063000),"19,679",821,대구광역시 달서구 중흥로 8길 41,128.5547781,35.8291236,,,,
대구광역시 달서구 송현2동(2729064000),"18,616",737,대구광역시 달서구 월배로 83길 120-14,128.5456058,35.8327943,,,,
대구광역시 달서구 본동(2729065000),"13,255",543,대구광역시 달서구 구마로 26길 62,128.5410812,35.8344453,,,,
대구광역시 달성군 화원읍(2771025000),"48,338","2,623",대구광역시 달성군 화원읍 비슬로 2594,128.500813,35.803907,,,,
대구광역시 달성군 논공읍(2771025300),"4,610",96,대구광역시 달성군 논공읍 비슬로 1779,128.4201906,35.7742545,,,,
대구광역시 달성군 논공읍공단출장소(2771025400),"13,876",861,대구광역시 달성군 논공읍 논공중앙로 33길 3,128.4528235,35.7300136,,,,
대구광역시 달성군 다사읍(2771025600),"51,032","2,752",대구광역시 달성군 다사읍 매곡로 7,128.4540961,35.8619037,,,,
대구광역시 달성군 다사읍서재출장소(2771025700),"38,655","1,486",대구광역시 달성군 다사읍 서재본길 25,128.4942087,35.8720944,,,,
대구광역시 달성군 유가읍(2771025900),"29,775","1,349",대구광역시 달성군 유가읍 테크노상업로 95,128.4597716,35.6938763,,,,
대구광역시 달성군 옥포읍(2771026200),"25,336",815,대구광역시 달성군 옥포읍 비슬로 2215,128.4638592,35.7893104,,,,
대구광역시 달성군 현풍읍(2771026500),"23,415",803,대구광역시 달성군 현풍읍 비슬로 134길 157,128.4476609,35.6973681,,,,
대구광역시 달성군 가창면(2771031000),"7,928",247,대구광역시 달성군 가창면 가창로 1100,128.62285,35.8026677,,,,
대구광역시 달성군 하빈면(2771033000),"3,669",54,대구광역시 달성군 하빈면 하빈로 84길 1,128.4455528,35.9010927,,,,
대구광역시 달성군 구지면(2771038000),"10,705",262,대구광역시 달성군 구지면 창리로 11길 38,128.4135612,35.6587707,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
