학원명,학원주소,Latitude,Longitude,가점척도,,,,,,,,,,,,,,,
DUP어학원,대구광역시 수성구 청호로 301 황금동 2층,35.8442395,128.6385016,2,,,,,,,,,,,,,,,
아시아관광학원,대구광역시 동구 동부로 156 신천동 4층,35.8770396,128.6293946,2,,,,,,,,,,,,,,,
스카이스튜디어스학원,"대구광역시 중구 동성로 55-1 , 3~4층 (동성로2가)",35.8720086,128.5955973,2,,,,,,,,,,,,,,,
전원음악학원,대구광역시 수성구 신매로6길 8-1 (),35.8334233,128.7086984,2,,,,,,,,,,,,,,,
소리샘피아노학원,대구광역시 중구 달구벌대로445길 8-18   2번지 (삼덕동3가),35.8627762,128.6071754,2,,,,,,,,,,,,,,,
빨강사과나무음악학원,대구광역시 수성구 천을로 115-11 (매호동),35.8443732,128.7039627,2,,,,,,,,,,,,,,,
빛과색미술학원,대구광역시 동구 아양로 218  진로이스트타운상가 303-307 (효목동),35.8845461,128.6374686,2,,,,,,,,,,,,,,,
디자인피플미술학원,"대구광역시 수성구 달구벌대로 2455 , 3층 (범어동)",35.8648816,128.6261427,2,,,,,,,,,,,,,,,
아뜰리에학원,대구광역시 동구 방촌로 117   2층 (방촌동),35.8829365,128.6651005,2,,,,,,,,,,,,,,,
드림코믹스만화학원,대구광역시 중구 명덕로 209   2 (남산동),35.8569248,128.5932878,2,,,,,,,,,,,,,,,
테라컴퓨터학원,대구광역시 수성구 달구벌대로 3090   4층 (시지동),35.8461238,128.7006837,2,,,,,,,,,,,,,,,
미래네트워크학원,"대구광역시 중구 달구벌대로 2078 , 5층 (남산동)",35.8656254,128.5908745,2,,,,,,,,,,,,,,,
엔닷SS수학과학학원,대구광역시 수성구 달구벌대로 2557   3층 (만촌동),35.8593235,128.6424823,2,,,,,,,,,,,,,,,
골든키학원,"대구광역시 중구 국채보상로 554-1 , 5층 (종로1가)",35.8707813,128.5915185,2,,,,,,,,,,,,,,,
초일류입시학원,대구광역시 수성구 달구벌대로496길 6   2층 (범어동),35.8581225,128.6339063,2,,,,,,,,,,,,,,,
베이징중국어학원,대구광역시 중구 달구벌대로 2109-21   3-4층 (덕산동),35.8662974,128.5937788,2,,,,,,,,,,,,,,,
단포포일본어학원,대구광역시 중구 공평로 13   4층 (삼덕동1가),35.8682184,128.5958125,2,,,,,,,,,,,,,,,
이지-UP입시음악학원,대구광역시 동구 반야월로 401-2   2층 (신서동),35.8719901,128.7326443,2,,,,,,,,,,,,,,,
큐티음악학원,대구광역시 수성구 지범로 29길 8 지산동 4층,35.8231628,128.6376998,2,,,,,,,,,,,,,,,
조이엘피아노학원,대구광역시 수성구 신매로 21  시지보성서한아파트 상가 105-201 (신매동),35.8382407,128.7052022,2,,,,,,,,,,,,,,,
로메오음악학원,대구광역시 수성구 노변공원로 7   2층 (시지동),35.8414025,128.6991798,2,,,,,,,,,,,,,,,
아르지앵미술학원,대구광역시 수성구 청수로35길 150  청원맨션상가 1층 1호 (황금동),35.8427732,128.63572,2,,,,,,,,,,,,,,,
