사업장명,소재지전체주소,Latitude,Longitude
별밤 노래연습장,대구광역시 중구 남산동 2117-13번지,35.8569815,128.5876095
일통이통 동전노래연습장,대구광역시 중구 삼덕동1가 5-12번지 지상 3층,35.8671579,128.5997356
뉴빅타운,대구광역시 중구 동성로2가 118-1번지,35.8689749,128.5950264
히트게임존,대구광역시 중구 삼덕동1가 5-2번지 지상3,35.8671664,128.5965665
투니동전노래연습장,대구광역시 중구 남산동 2266-11번지 지상2층,35.8570257,128.5818747
보이스코리아코인노래연습장,대구광역시 중구 삼덕동1가 63-141번지,35.8667119,128.5996901
아세아,대구광역시 중구 향촌동 63번지,35.8726159,128.5936329
첼로,대구광역시 중구 삼덕동1가 8-4번지,35.8677124,128.5957146
요요,대구광역시 중구 달성동 179-12번지,35.8766661,128.5783626
코리아,대구광역시 중구 남산동 107-31번지,35.8620475,128.5821129
대구,대구광역시 중구 대신동 1028번지,35.8673383,128.5770645
성화 노래연습장,대구광역시 중구 향촌동 62-16번지 무궁화백화점 지하1층 23호,35.872258,128.5938395
리베,대구광역시 중구 봉산동 35-36번지,35.8659401,128.5957722
도깨비 노래연습장,대구광역시 중구 남일동 76-3번지,35.8697193,128.5943144
청솔노래연습장,대구광역시 중구 남산동 605-11번지,35.8603679,128.590345
만남,대구광역시 중구 공평동 53-10번지,35.8683912,128.5969577
향교,대구광역시 중구 남산동 693-8번지,35.8606431,128.5937617
대보,대구광역시 중구 향촌동 65-4번지,35.8727049,128.5938683
제이가요무대,대구광역시 중구 동성로1가 14-4번지,35.8728394,128.5960143
가영노래연습장,대구광역시 동구 검사동 991-40번지,35.8863908,128.650352
스타노래연습장,대구광역시 동구 신천동 383-1번지,35.8766183,128.6291277
팡팡노래연습장,대구광역시 동구 효목동 548번지,35.8755211,128.6397559
만남노래연습장,대구광역시 동구 신암동 648-16번지,35.8908256,128.6241338
세림노래연습장,대구광역시 동구 신천동 347-17번지,35.8693668,128.629376
화이트노래연습장,대구광역시 동구 용계동 702-49번지,35.8744145,128.6891077
이코노노래연습장,대구광역시 동구 방촌동 889-1번지,35.8820144,128.6657506
니캉내캉노래연습장,대구광역시 동구 중대동 389번지,35.9773899,128.6302868
무지개노래연습장,대구광역시 동구 신천동 539-2번지,35.8743038,128.6151825
신바람노래연습장,대구광역시 동구 신천동 275-2번지,35.8736925,128.6189075
은하노래연습장,대구광역시 동구 도동 1054-39번지,35.9099632,128.6466073
효목노래연습장,대구광역시 동구 효목동 547번지,35.8754219,128.639765
일성노래연습장,대구광역시 동구 효목동 962-3번지,35.8856861,128.6353375
보금노래연습장,대구광역시 동구 입석동 941-3번지,35.8892784,128.6438639
애플노래연습장,대구광역시 동구 지저동 833-15번지,35.8925137,128.6380328
동화노래연습장,대구광역시 동구 지저동 669-55번지,35.8972362,128.6377682
라이브노래연습장,대구광역시 동구 신천동 825-7번지,35.8684408,128.616053
궁전노래연습장,대구광역시 동구 신암동 1192-9번지,35.8792233,128.6110907
올인노래연습장,대구광역시 동구 신기동 206-2번지,35.8699006,128.7029747
월드노래연습장,대구광역시 동구 효목동 463-2번지,35.8749115,128.6391419
부부노래연습장,대구광역시 동구 신암동 134-7번지,35.8883737,128.6297257
뮤즈노래연습장,대구광역시 동구 신암동 224-11번지,35.8811829,128.6212672
부킹노래연습장,대구광역시 동구 신암동 595-2번지,35.8825499,128.6185334
왕노래연습장,대구광역시 동구 효목동 119-40번지,35.8852611,128.640532
미소노래방,대구광역시 동구 신암동 607-3번지,35.8836863,128.6190772
우리노래연습장,대구광역시 동구 신암동 168-12번지,35.8813252,128.618844
스타노래연습장,대구광역시 동구 방촌동 858-23번지,35.8800521,128.6695052
스타노래연습장,대구광역시 동구 신암동 1196-4번지,35.8788567,128.6101587
아우성노래연습장,대구광역시 동구 신암동 603-154번지,35.8846708,128.6211161
라이브노래연습장,대구광역시 동구 동호동 375-1번지,35.8666522,128.7242206
동경노래연습장,대구광역시 동구 동호동 370-2번지,35.8665381,128.7238664
나비노래연습장,대구광역시 동구 효목동 456-2번지 외1필지,35.8769909,128.6394587
스타노래연습장,대구광역시 동구 방촌동 1120-32번지,35.875404,128.6679013
신바람노래연습장,대구광역시 동구 신기동 265-10번지,35.8696263,128.7054793
강촌노래연습장,대구광역시 동구 방촌동 1120-39번지,35.8754054,128.6681361
황제노래연습장,대구광역시 동구 동호동 106-61번지,35.8683791,128.7138419
월드노래연습장,대구광역시 동구 동호동 368-7번지,35.8668711,128.7234918
광장노래연습장,대구광역시 동구 율하동 1440번지 203호,35.8633734,128.6956701
키스노래연습장,대구광역시 동구 효목동 352-26번지,35.8780785,128.6402028
왕의남자노래연습장,대구광역시 동구 동호동 367-5번지,35.8663696,128.7232625
라이브노래연습장,대구광역시 동구 신암동 342-10번지,35.8848343,128.6322794
대하노래연습장,대구광역시 동구 신서동 495번지,35.871389,128.7324882
앗싸노래연습장,대구광역시 동구 신암동 164-2번지,35.880595,128.614653
정노래연습장,대구광역시 동구 동호동 106-10번지,35.8697997,128.7135125
스카이노래연습장,대구광역시 동구 신천동 364-1번지,35.8711014,128.6292834
코리아노래연습장,대구광역시 동구 효목동 457-11번지,35.8765053,128.6394315
총각노래연습장,대구광역시 동구 지저동 668-11번지,35.8972615,128.6389415
올레노래연습장,대구광역시 동구 신기동 268-1번지,35.869994,128.7031738
명창노래연습장,대구광역시 동구 신천동 739-3번지,35.8717883,128.6188573
팡팡노래연습장,대구광역시 동구 신암동 100-1번지,35.8860758,128.6344247
발리노래연습장,대구광역시 동구 지저동 763-5번지,35.8940163,128.6376737
아트노래연습장,대구광역시 동구 동호동 367-7번지,35.8660631,128.7234236
고려노래연습장,대구광역시 동구 용수동 59-14번지,35.9898005,128.6938738
용궁노래연습장,대구광역시 동구 율하동 915번지,35.8701561,128.6982652
첼로노래연습장,대구광역시 동구 율하동 867-3번지,35.8702183,128.6998005
로마노래연습장,대구광역시 동구 신천동 543-20번지,35.8742979,128.6145778
차차차노래연습장,대구광역시 동구 효목동 453-4번지,35.8773756,128.6389889
짱노래연습장,대구광역시 동구 효목동 86-3번지,35.8864512,128.6413002
성공노래연습장,대구광역시 동구 용수동 39-9번지,35.9892175,128.6960379
스카이발리노래연습장,대구광역시 동구 입석동 932-158번지,35.890757,128.6466306
2차노래연습장,대구광역시 동구 신천동 192-13번지,35.8720038,128.6235554
빅보이노래연습장,대구광역시 동구 신천동 672-7번지,35.8698713,128.6191901
애플노래연습장,대구광역시 동구 신천동 410-14번지,35.8751598,128.6337928
비전노래연습장,대구광역시 동구 신천동 341-1번지,35.8712982,128.6287146
2차노래연습장,대구광역시 동구 방촌동 914-13번지,35.8828736,128.6652262
도무스노래연습장,대구광역시 동구 신암동 620-61번지,35.8848244,128.6262586
모아노래연습장,대구광역시 동구 신서동 534-6번지,35.8671585,128.7250181
유유노래연습장,대구광역시 동구 신암동 760-5번지,35.8820612,128.6178507
깜보노래연습장,대구광역시 동구 신천동 671-23번지,35.8699665,128.6189073
패밀리노래연습장,대구광역시 동구 방촌동 863-63번지,35.8802583,128.6698769
로또노래연습장,대구광역시 동구 입석동 930-6번지,35.889542,128.6474902
오션노래연습장,대구광역시 동구 동호동 368-6번지,35.8666382,128.7235517
스타노래연습장,대구광역시 동구 효목동 448-1번지,35.8779514,128.6378373
화선노래연습장,대구광역시 동구 신천동 1291-70번지,35.8736072,128.6128793
새암노래연습장,대구광역시 동구 신암동 677-6번지,35.8901164,128.6246289
피아노 노래연습장,대구광역시 동구 효목동 354-1번지,35.8774522,128.6396761
대박노래연습장,대구광역시 동구 신천동 503-9번지,35.8737933,128.6177101
녹수노래연습장,대구광역시 동구 중대동 515번지,35.9828931,128.6352808
홈런노래연습장,대구광역시 동구 불로동 267-1번지,35.9128476,128.64067
귀빈노래연습장,대구광역시 동구 불로동 382-19번지,35.9131368,128.641377
세이노래연습장,대구광역시 동구 효목동 399-4번지,35.8752608,128.6342864
사랑노래연습장,대구광역시 동구 신천동 269-4번지,35.8730717,128.6186934
팡팡노래연습장,대구광역시 동구 율하동 48-7번지,35.8717785,128.6963825
깜둥이노래연습장,대구광역시 동구 신천동 17-3번지,35.8750236,128.6177208
해안노래연습장,대구광역시 동구 불로동 1139-4번지,35.9153225,128.6413681
여울노래연습장,대구광역시 동구 율하동 193번지,35.8704464,128.6984017
주연노래연습장,대구광역시 동구 신기동 547-5번지,35.8700261,128.7015485
까치노래연습장,대구광역시 동구 방촌동 862-32번지,35.8808734,128.6702841
필통동전노래연습장,대구광역시 동구 신서동 534-1번지,35.8676105,128.7247908
동행노래연습장,대구광역시 동구 효목동 75-22번지,35.885636,128.6398594
올레동전노래연습장,대구광역시 동구 봉무동 1539번지 고운타운3층301호,35.9215394,128.6373616
제이노래연습장,대구광역시 동구 각산동 1077-1번지 3층,35.885859,128.7172742
