사업장명,소재지전체주소,Latitude,Longitude
올레게임랜드,대구광역시 서구 비산동 548-4번지 지하 1층,35.8791298,128.5709404
뽑아야산다,대구광역시 서구 비산동 1370-8번지 1층,35.8850121,128.5574215
롯데게임랜드,대구광역시 서구 중리동 33-4번지 2층,35.8693197,128.5504981
만평게임랜드,대구광역시 서구 비산동 1279-13번지 2층,35.8861538,128.5617513
우리게임랜드,대구광역시 서구 평리동 1524-12번지 2층,35.8705122,128.5540189
뽑기의 민족,대구광역시 서구 내당동 896-17번지,35.8631638,128.571519
큐브인형뽑기방,대구광역시 서구 평리동 1118-31번지 1층,35.8693337,128.5634187
행운뽑기,대구광역시 서구 비산동 926-11번지,35.8855046,128.5612096
토이팡팡,대구광역시 서구 평리동 1420-1번지,35.869454,128.5524546
오스카샵,대구광역시 서구 비산동 434-568번지 1층,35.8757122,128.5714541
행복인형방,대구광역시 서구 내당동 951-6번지 1층,35.8671028,128.5714676
감자게임랜드,대구광역시 서구 비산동 1251번지,35.8888609,128.5616508
원 게임랜드,대구광역시 서구 원대동3가 1431-6번지 2층,35.8851094,128.5740856
혜성 오락실,대구광역시 서구 평리동 1400-10번지 1층,35.8699432,128.5546484
영남게임장,대구광역시 서구 비산동 66-2번지 3층,35.8791304,128.5728763
노다지게임랜드,대구광역시 서구 비산동 1104-42번지 2층,35.8844873,128.572999
여명게임랜드,대구광역시 서구 비산동 311-4번지 2층,35.8695615,128.5712981
산호오락실,대구광역시 서구 비산동 1366-2번지 1층,35.8861303,128.5580784
겜블게임랜드,대구광역시 서구 비산동 896-1번지 1층,35.8845471,128.5589744
코리아게임랜드,대구광역시 서구 비산동 1254-2번지 1층,35.888269,128.5604349
짱구게임장,대구광역시 서구 원대동3가 1431-9번지 1층,35.884813,128.5738774
알라딘,대구광역시 서구 비산동 434-560번지 1층,35.8753887,128.5714517
왕대박게임랜드,대구광역시 서구 평리동 766-2번지 2층,35.8792014,128.5676206
퀸스게임랜드,대구광역시 서구 내당동 410-10번지 2층,35.8608851,128.5459643
보물섬 오락실,대구광역시 서구 비산동 493-9번지 2층,35.8761354,128.5698413
세종게임랜드,대구광역시 서구 비산동 509-2번지 2층,35.8779603,128.5710405
인형짱,대구광역시 서구 평리동 1224-25번지 1층,35.8674793,128.5600216
짱구게임장,대구광역시 서구 비산동 1868-2번지 1층,35.8857073,128.5546397
뽀끼랜드,대구광역시 서구 비산동 348-6번지 1층,35.8723425,128.5679737
황제게임랜드,대구광역시 남구 대명동 1652-16번지,35.8411437,128.5741373
세븐뽑기방,대구광역시 남구 대명동 1644-2번지,35.841445,128.5724015
스마트미리내,대구광역시 남구 봉덕동 1322-5번지 (효명길 10-8),35.8354228,128.5998453
선수입장,대구광역시 남구 대명동 805-16번지,35.8396637,128.5762309
안지게임랜드,대구광역시 남구 대명동 721-15번지,35.8383535,128.5770914
명가오락실,대구광역시 남구 대명동 168-2번지 (대명로57길 23),35.8447241,128.5863911
가든 오락실,대구광역시 남구 봉덕동 688-3번지,35.8423019,128.5972647
