사업장명,소재지전체주소,Latitude,Longitude,가점척도
라이브노래연습장,대구광역시 동구 동호동 375-1번지,35.8666522,128.7242206,3
동경노래연습장,대구광역시 동구 동호동 370-2번지,35.8665381,128.7238664,3
나비노래연습장,대구광역시 동구 효목동 456-2번지 외1필지,35.8769909,128.6394587,3
스타노래연습장,대구광역시 동구 방촌동 1120-32번지,35.875404,128.6679013,3
신바람노래연습장,대구광역시 동구 신기동 265-10번지,35.8696263,128.7054793,3
강촌노래연습장,대구광역시 동구 방촌동 1120-39번지,35.8754054,128.6681361,3
황제노래연습장,대구광역시 동구 동호동 106-61번지,35.8683791,128.7138419,3
월드노래연습장,대구광역시 동구 동호동 368-7번지,35.8668711,128.7234918,3
광장노래연습장,대구광역시 동구 율하동 1440번지 203호,35.8633734,128.6956701,3
키스노래연습장,대구광역시 동구 효목동 352-26번지,35.8780785,128.6402028,3
왕의남자노래연습장,대구광역시 동구 동호동 367-5번지,35.8663696,128.7232625,3
라이브노래연습장,대구광역시 동구 신암동 342-10번지,35.8848343,128.6322794,3
대하노래연습장,대구광역시 동구 신서동 495번지,35.871389,128.7324882,3
앗싸노래연습장,대구광역시 동구 신암동 164-2번지,35.880595,128.614653,3
정노래연습장,대구광역시 동구 동호동 106-10번지,35.8697997,128.7135125,3
스카이노래연습장,대구광역시 동구 신천동 364-1번지,35.8711014,128.6292834,3
코리아노래연습장,대구광역시 동구 효목동 457-11번지,35.8765053,128.6394315,3
총각노래연습장,대구광역시 동구 지저동 668-11번지,35.8972615,128.6389415,3
올레노래연습장,대구광역시 동구 신기동 268-1번지,35.869994,128.7031738,3
명창노래연습장,대구광역시 동구 신천동 739-3번지,35.8717883,128.6188573,3
팡팡노래연습장,대구광역시 동구 신암동 100-1번지,35.8860758,128.6344247,3
발리노래연습장,대구광역시 동구 지저동 763-5번지,35.8940163,128.6376737,3
아트노래연습장,대구광역시 동구 동호동 367-7번지,35.8660631,128.7234236,3
고려노래연습장,대구광역시 동구 용수동 59-14번지,35.9898005,128.6938738,3
용궁노래연습장,대구광역시 동구 율하동 915번지,35.8701561,128.6982652,3
첼로노래연습장,대구광역시 동구 율하동 867-3번지,35.8702183,128.6998005,3
로마노래연습장,대구광역시 동구 신천동 543-20번지,35.8742979,128.6145778,3
차차차노래연습장,대구광역시 동구 효목동 453-4번지,35.8773756,128.6389889,3
짱노래연습장,대구광역시 동구 효목동 86-3번지,35.8864512,128.6413002,3
성공노래연습장,대구광역시 동구 용수동 39-9번지,35.9892175,128.6960379,3
스카이발리노래연습장,대구광역시 동구 입석동 932-158번지,35.890757,128.6466306,3
2차노래연습장,대구광역시 동구 신천동 192-13번지,35.8720038,128.6235554,3
빅보이노래연습장,대구광역시 동구 신천동 672-7번지,35.8698713,128.6191901,3
애플노래연습장,대구광역시 동구 신천동 410-14번지,35.8751598,128.6337928,3
비전노래연습장,대구광역시 동구 신천동 341-1번지,35.8712982,128.6287146,3
2차노래연습장,대구광역시 동구 방촌동 914-13번지,35.8828736,128.6652262,3
도무스노래연습장,대구광역시 동구 신암동 620-61번지,35.8848244,128.6262586,3
모아노래연습장,대구광역시 동구 신서동 534-6번지,35.8671585,128.7250181,3
유유노래연습장,대구광역시 동구 신암동 760-5번지,35.8820612,128.6178507,3
깜보노래연습장,대구광역시 동구 신천동 671-23번지,35.8699665,128.6189073,3
패밀리노래연습장,대구광역시 동구 방촌동 863-63번지,35.8802583,128.6698769,3
로또노래연습장,대구광역시 동구 입석동 930-6번지,35.889542,128.6474902,3
오션노래연습장,대구광역시 동구 동호동 368-6번지,35.8666382,128.7235517,3
스타노래연습장,대구광역시 동구 효목동 448-1번지,35.8779514,128.6378373,3
화선노래연습장,대구광역시 동구 신천동 1291-70번지,35.8736072,128.6128793,3
새암노래연습장,대구광역시 동구 신암동 677-6번지,35.8901164,128.6246289,3
피아노 노래연습장,대구광역시 동구 효목동 354-1번지,35.8774522,128.6396761,3
대박노래연습장,대구광역시 동구 신천동 503-9번지,35.8737933,128.6177101,3
녹수노래연습장,대구광역시 동구 중대동 515번지,35.9828931,128.6352808,3
홈런노래연습장,대구광역시 동구 불로동 267-1번지,35.9128476,128.64067,3
귀빈노래연습장,대구광역시 동구 불로동 382-19번지,35.9131368,128.641377,3
세이노래연습장,대구광역시 동구 효목동 399-4번지,35.8752608,128.6342864,3
사랑노래연습장,대구광역시 동구 신천동 269-4번지,35.8730717,128.6186934,3
팡팡노래연습장,대구광역시 동구 율하동 48-7번지,35.8717785,128.6963825,3
깜둥이노래연습장,대구광역시 동구 신천동 17-3번지,35.8750236,128.6177208,3
해안노래연습장,대구광역시 동구 불로동 1139-4번지,35.9153225,128.6413681,3
여울노래연습장,대구광역시 동구 율하동 193번지,35.8704464,128.6984017,3
주연노래연습장,대구광역시 동구 신기동 547-5번지,35.8700261,128.7015485,3
까치노래연습장,대구광역시 동구 방촌동 862-32번지,35.8808734,128.6702841,3
필통동전노래연습장,대구광역시 동구 신서동 534-1번지,35.8676105,128.7247908,3
동행노래연습장,대구광역시 동구 효목동 75-22번지,35.885636,128.6398594,3
올레동전노래연습장,대구광역시 동구 봉무동 1539번지 고운타운3층301호,35.9215394,128.6373616,3
제이노래연습장,대구광역시 동구 각산동 1077-1번지 3층,35.885859,128.7172742,3
쇼노래연습장,대구광역시 동구 방촌동 1120-55번지 지하1층,35.8748589,128.6675424,3
팡팡동전노래연습장,대구광역시 동구 신서동 530-4번지 동호골든프라자 203호,35.8963498,128.6159981,3
K팝동전노래연습장,대구광역시 동구 방촌동 1119-35번지,35.8759068,128.6690595,3
스타노래연습장,대구광역시 동구 신암동 662-4번지,35.8893887,128.6178965,3
허니문노래연습장,대구광역시 동구 지묘동 193-1번지,35.9429601,128.6464039,3
히트노래연습장,대구광역시 동구 신암동 123-5번지,35.8863119,128.6317041,3
삼거리노래연습장,대구광역시 동구 신천동 391-2번지,35.8774305,128.6316857,3
나인노래연습장,대구광역시 동구 율하동 1425번지 2층,35.8627354,128.6967463,3
한마음노래연습장,대구광역시 동구 서호동 76-2번지,35.8700164,128.7084261,3
공항노래연습장,대구광역시 동구 지저동 669-51번지,35.8975487,128.6374805,3
효성노래연습장,대구광역시 동구 방촌동 1113-137번지,35.8791444,128.6709739,3
궁전노래연습장,대구광역시 동구 율하동 898-1번지,35.8702205,128.6974109,3
천우노래연습장,대구광역시 동구 율하동 898-2번지,35.8702178,128.6975659,3
새천년노래연습장,대구광역시 동구 율하동 129-20번지,35.8731054,128.7002346,3
에쿠스노래연습장,대구광역시 동구 효목동 566번지,35.8775896,128.6402675,3
동경노래연습장,대구광역시 동구 율하동 43-6번지,35.8722378,128.6964563,3
쏭쏭노래연습장,대구광역시 동구 지저동 669-40번지,35.8969488,128.637736,3
황금노래방,대구광역시 동구 방촌동 902-13번지,35.8828719,128.6666604,3
귀빈노래연습장,대구광역시 동구 효목동 460-4번지,35.8755037,128.6389617,3
만득이노래연습장,대구광역시 동구 신암동 753-1번지,35.8821897,128.6179348,3
딩동댕노래연습장,대구광역시 동구 검사동 960-48번지,35.884688,128.6561949,3
광장노래연습장,대구광역시 동구 불로동 1152-10번지,35.9144257,128.6408556,3
국제엑스포노래연습장,대구광역시 동구 용계동 150-1번지,35.8738937,128.6953224,3
황제노래연습장,대구광역시 동구 지저동 670-1번지,35.8970954,128.6381338,3
짚시노래연습장,대구광역시 동구 신서동 637-19번지,35.871124,128.7229569,3
무대포노래연습장,대구광역시 동구 율하동 237-9번지,35.8708292,128.6967407,3
일등노래연습장,대구광역시 동구 검사동 990-202번지,35.8870243,128.6512111,3
대왕노래연습장,대구광역시 동구 율하동 1429번지 201호,35.8626188,128.6978935,3
황진이노래연습장,대구광역시 동구 신기동 128-2번지,35.8723856,128.7063399,3
축제노래연습장,대구광역시 동구 신천동 284-19번지,35.8750641,128.6231419,3
귀빈노래연습장,대구광역시 동구 신암동 331-10번지,35.8827602,128.6306116,3
청솔노래연습장,대구광역시 동구 율하동 1433번지 202호,35.863151,128.6978129,3
스타노래연습장,대구광역시 동구 율하동 1438번지,35.8632982,128.6963604,3
맘마미아노래연습장,대구광역시 동구 효목동 1017번지,35.8813005,128.6509705,3
신천노래연습장,대구광역시 동구 신천동 282-1번지,35.874697,128.6207503,3
평화노래연습장,대구광역시 동구 효목동 198-11번지,35.8774136,128.6462087,3
세븐노래연습장,대구광역시 동구 율하동 1428번지,35.8626493,128.6976048,3
K2노래연습장,대구광역시 동구 신암동 214-11번지,35.8819839,128.6195712,3
루비노래연습장,대구광역시 동구 효목동 168-15번지,35.8792613,128.64872,3
동화노래연습장,대구광역시 동구 동호동 373-4번지 2층,35.8668602,128.7241107,3
성우노래연습장,대구광역시 동구 지저동 668-13번지,35.8972156,128.6391051,3
야월노래연습장,대구광역시 동구 신기동 591번지,35.8690757,128.7082162,3
뉴아리랑노래연습장,대구광역시 동구 율하동 1441번지 새롬빌딩 2층,35.8634147,128.695387,3
옥소리노래연습장,대구광역시 동구 지저동 769-1번지,35.8950152,128.6377992,3
황금노래연습장,대구광역시 동구 동호동 367-3번지,35.8666707,128.7230991,3
상하이노래연습장,대구광역시 동구 방촌동 871-17번지,35.8802907,128.6687442,3
궁전노래연습장,대구광역시 동구 방촌동 1063-5번지,35.8822083,128.6631352,3
멜로디노래연습장,대구광역시 동구 신암동 620-5번지,35.8862196,128.6255663,3
엔돌핀노래연습장,대구광역시 동구 방촌동 1087-35번지,35.8810435,128.6654656,3
대해노래연습장,대구광역시 동구 신암동 224-15번지,35.8813229,128.6208652,3
바다노래연습장,대구광역시 동구 효목동 119-9번지,35.8855613,128.6403394,3
덕이노래연습장,대구광역시 동구 검사동 1019-16번지,35.8889828,128.6485556,3
탑골노래연습장,대구광역시 동구 용수동 14-7번지,35.9912241,128.6979842,3
신바람노래연습장,대구광역시 동구 신천동 370-17번지,35.8724441,128.6289994,3
신바람노래연습장,대구광역시 동구 중대동 708번지,35.9841034,128.6354724,3
갈채노래연습장,대구광역시 동구 신암동 784-4번지,35.8846875,128.614194,3
파크노래연습장,대구광역시 동구 효목동 453-1번지,35.8775115,128.6385116,3
황제노래연습장,대구광역시 동구 동호동 375-2번지,35.8664994,128.7243001,3
뮤직노래연습장,대구광역시 동구 효목동 497-14번지,35.8746989,128.6345388,3
발리노래연습장,대구광역시 동구 동호동 370-1번지,35.8664899,128.7236456,3
궁전노래연습장,대구광역시 동구 신암동 603-127번지,35.8824886,128.619749,3
킹노래연습장,대구광역시 동구 동호동 367-8번지,35.8659211,128.7235031,3
대박노래연습장,대구광역시 동구 방촌동 1090-9번지,35.8804635,128.6670135,3
축제노래연습장,대구광역시 동구 효목동 81-15번지,35.8858145,128.6400147,3
순풍노래연습장,대구광역시 동구 효목동 560-5번지,35.8766122,128.639995,3
올레노래연습장,대구광역시 동구 지저동 761-48번지,35.8936594,128.6376709,3
은빛노래연습장,대구광역시 동구 효목동 503-1번지 2층 B호,35.8735912,128.6348689,3
비트코인동전노래연습장,대구광역시 동구 봉무동 1542-5번지,35.9300887,128.6413466,3
혜성노래연습장,대구광역시 동구 율하동 921-6번지,35.8699445,128.6999299,3
광장노래연습장,대구광역시 동구 동호동 97-31번지,35.8705846,128.7135283,3
종점노래연습장,대구광역시 동구 효목동 170-21번지,35.8797779,128.648361,3
남경노래연습장,대구광역시 동구 지묘동 822-1번지,35.9411911,128.6365906,3
평양노래연습장,대구광역시 동구 용수동 59-6번지,35.9897886,128.6943805,3
유인노래연습장,대구광역시 동구 신기동 547-6번지,35.8700423,128.7013925,3
혜성노래연습장,대구광역시 동구 신암동 591-1번지,35.8823952,128.6191414,3
길목노래연습장,대구광역시 동구 지저동 771-7번지,35.8956133,128.6375182,3
강남노래연습장,대구광역시 동구 불로동 1139-8번지,35.9150314,128.6413713,3
게스트노래연습장,대구광역시 동구 신천동 298-6번지,35.8700369,128.6263681,3
로즈노래연습장,대구광역시 동구 입석동 930-3번지,35.890471,128.646862,3
신라노래연습장,대구광역시 동구 신천동 333-2번지,35.8753787,128.6286705,3
카네기노래연습장,대구광역시 동구 효목동 957-12번지,35.8848958,128.634114,3
엑스포노래연습장,대구광역시 동구 동호동 3-2번지,35.8723123,128.7105107,3
들꽃향노래연습장,대구광역시 동구 용수동 67-21번지,35.9895872,128.6927241,3
강변노래연습장,대구광역시 동구 불로동 965-1번지,35.9005172,128.6302085,3
즐거운노래연습장,대구광역시 동구 율하동 911-15번지,35.8689253,128.6972523,3
제우스노래연습장,대구광역시 동구 검사동 1009-2번지,35.8877936,128.6506293,3
유명노래연습장,대구광역시 동구 효목동 169-11번지,35.8796898,128.6484798,3
새강남노래연습장,대구광역시 동구 신암동 1190-29번지,35.8795145,128.6114451,3
평화노래연습장,대구광역시 동구 신암동 603-453번지,35.88257,128.6200498,3
맑은노래연습장,대구광역시 동구 지묘동 330-3번지,35.9408356,128.6408958,3
랑낭,대구광역시 동구 용계동 416-1번지,35.8776985,128.6774458,3
팡팡노래연습장,대구광역시 동구 지저동 670-38번지,35.8972449,128.638156,3
강남스타 노래연습장,대구광역시 동구 지저동 682-45번지,35.8955778,128.6404699,3
나드리노래연습장,대구광역시 동구 용계동 420-9번지,35.8777358,128.6759444,3
팔군노래연습장,대구광역시 동구 신암동 41-2번지,35.8868638,128.6345617,3
대궁전노래연습장,대구광역시 동구 신암동 1810-2번지,35.8878626,128.625062,3
퍼팩트싱어동전노래연습장율하점,대구광역시 동구 율하동 1442번지,35.8634299,128.6951081,3
소울보이스,대구광역시 동구 신암동 784-4번지,35.8846875,128.614194,3
코인스동전노래연습장,대구광역시 동구 신천동 386-2번지,35.8770396,128.6293946,3
더보이스동전노래연습장 율하점,대구광역시 동구 율하동 1424번지,35.8627855,128.6964943,3
강변노래연습장,대구광역시 동구 효목동 87-11번지,35.8866286,128.6416749,3
마로니에노래연습장,대구광역시 동구 불로동 1152-1번지,35.9143194,128.6408426,3
이시아노래연습장,대구광역시 동구 봉무동 1539-8번지,35.9263636,128.6434628,3
명가노래연습장,대구광역시 동구 효목동 141-6번지,35.8823579,128.6423958,3
황금노래연습장,대구광역시 동구 방촌동 1084-30번지 우방강촌마을 147동 상가 지하1호,35.876261,128.669412,3
카멜레온노래연습장,대구광역시 동구 신암동 603-454번지,35.8826134,128.6201897,3
올레노래연습장,대구광역시 동구 율하동 1423번지 202호,35.8627992,128.6961556,3
사이버노래연습장,대구광역시 동구 신암동 1332-26번지,35.8789324,128.6108836,3
상아노래연습장,대구광역시 동구 효목동 551-3번지,35.875726,128.6397066,3
핫노래연습장,대구광역시 동구 신천동 334-1번지,35.8750425,128.6286722,3
가빈노래연습장,대구광역시 동구 방촌동 857-121번지,35.8791692,128.6726774,3
쇼 노래연습장,대구광역시 동구 방촌동 1063-2번지 지1층,35.882364,128.6628408,3
일통이통동전노래연습장,대구광역시 동구 효목동 510-3번지,35.8723224,128.6353338,3
런노래연습장,대구광역시 동구 동호동 367-4번지,35.8665188,128.7231808,3
골드노래연습장,대구광역시 동구 효목동 75-7번지,35.8858911,128.6395192,3
봉무노래연습장,대구광역시 동구 봉무동 1542-8번지,35.9221855,128.6376963,3
캡틴노래연습장,대구광역시 서구 비산동 1811번지 지하1층,35.8877019,128.5542549,3
SAIGON LOVE 노래연습장,대구광역시 서구 비산동 1228-4번지,35.8886245,128.5651681,3
월드노래연습장,대구광역시 서구 비산동 1370-3번지 2층,35.8849294,128.5575738,3
선영이노래연습장,대구광역시 서구 비산동 1303-2번지 2층,35.8889628,128.5604852,3
야우노래연습장,대구광역시 서구 평리동 1524-9번지,35.8705483,128.5541908,3
황제노래연습장,대구광역시 서구 평리동 1492-30번지,35.874951,128.554629,3
아트노래연습장,대구광역시 서구 비산동 1237-13번지 지하1층,35.8881728,128.5636662,3
